EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010265029,NATIONAL SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION,% THOMAS C PUCKETT,2780 PEMBERLY AVE,HGHLNDS RANCH,CO,80126-7570,0690,03,9,2000,194408,1,16,059908000,5,01,202412,0,0,02,0,12,0,0,0,,MOUNT EVANS
010532058,SIETAR USA,,2044 S ROBB WAY,LAKEWOOD,CO,80227-1963,0000,03,3,2000,200205,1,16,000000000,1,01,202412,3,3,02,0,12,86604,32971,27511,Q20,
010558388,LINK A COMMUNITY ASSESMENT AND RESOURCE CENTER,,11478 E 25TH DR,AURORA,CO,80010-1266,0000,03,3,1000,200404,1,15,000000000,1,01,202412,0,1,02,0,12,0,60,60,O50,VALORIE LAGWIG
010563036,GODS CLIP CHRISTIAN LADIES IN PRAYER,% ADA TORRES,5240 GENOA ST,DENVER,CO,80249-7581,0000,03,1,1000,200306,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,F30,
010563501,THE E-PROJECT,% HALEY JOHNSON,2373 S JAMAICA ST,AURORA,CO,80014-1715,0000,03,3,1000,200211,1,15,000000000,1,01,202412,3,2,02,0,12,25583,24040,3470,A65,
010572441,EGYPTIAN STUDY SOCIETY INC,% CAROL PHILLIPS,PO BOX 173764,DENVER,CO,80217-3764,0000,03,3,2000,200202,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,B60,
010578289,LIVING CHRISTIAN FELLOWSHIP,% DONALD F GINKEL,7818 W OXFORD CIR,LAKEWOOD,CO,80235-1936,9402,03,9,7000,198907,1,10,002000000,1,01,,0,0,06,0,12,,,,,
010595871,METROPLITAN STATE UNIVERSITY OF DENVER ALUMNI ASSOCIATION,% CHERRELYN A NAPUE,PO BOX 173362,DENVER,CO,80217-3362,0000,04,3,1000,200204,2,00,000000000,1,01,202406,4,5,01,0,06,240477,595410,339044,B84,
010599173,GLOBAL INITIATIVES FOUNDATION,% MORRIS E RUDDICK,3838 S WABASH ST,DENVER,CO,80237-1627,0000,03,3,1000,200403,1,16,000000000,1,01,202412,3,2,02,0,12,44964,24636,24636,P20,
010599655,GOLDEN CHAMBER CHOIR,% LINDA DRIGGERS,PO BOX 18014,GOLDEN,CO,80402-6033,0000,03,3,1000,200308,1,16,000000000,1,01,202506,0,0,02,0,06,0,0,0,Z99,
